AMEH	B-	17.2200	3.2400	6	4	57.3600	35.0700	1.3900	33.0000	22.5600	9.4700
AMG	B	72.9300	3.5600	7	3	52.4800	18.4400	1.5000	3.4400	21.6900	-0.7500
AMGN	B-	253.3100	0.0900	6	3	62.2800	19.8400	6.2800	28.7300	14.2100	15.2600
AMH	C+	27.2600	0.7400	6	3	57.0200	91.1700	7.1600	23.4300	10.7200	-0.7300
AMJ	B-	12.8000	6.6700	\N	\N	44.3500	\N	\N	\N	21.4400	-16.0100
AMK	B	29.1800	3.3300	\N	2	63.8200	\N	4.7300	33.0000	41.5100	8.1900
AMKR	B+	12.1800	-0.5300	6	3	55.1200	14.1200	0.7000	10.5900	40.9100	3.6200
AMN	B-	47.5500	5.0600	6	2	61.1100	24.3500	0.9500	10.9700	-16.4800	3.8700
AMP	B	154.1000	2.8700	\N	3	59.3700	5.7100	1.4200	2.7800	47.9600	2.6100
AMPH	B+	20.6900	2.0700	6	3	50.5100	19.8200	2.9900	33.0000	27.7900	3.7600
AMRC	B	28.7200	0.1000	4	1	67.9300	29.6400	1.4300	\N	72.4900	35.2200
AMRN	B	6.8600	4.5700	7	3	48.1400	\N	5.1100	\N	8.5400	0.1500
AMT	B-	257.2700	-0.6400	7	3	50.3200	60.1900	14.7700	33.0000	3.9500	-1.9900
AMTD	B+	38.6000	3.3200	\N	2	56.3800	10.9500	3.4900	1.5700	7.6700	-2.2300
AMU	B-	8.0900	5.7400	\N	\N	44.5200	\N	\N	\N	22.1900	-15.1200
AMWD	B	74.5200	2.0300	5	2	57.9000	16.8700	0.7600	8.6500	50.5800	7.5200
AMX	C+	13.1500	6.9100	4	3	53.8600	51.9800	0.9700	10.0000	23.3600	-4.2900
AMZN	B-	3008.8700	-2.4400	4	3	61.8700	143.7300	5.0400	33.0000	30.3900	16.9500
AN	B-	44.1500	1.3800	6	1	67.3300	31.9200	0.1800	10.1000	44.7100	11.5700
ANAB	B	21.8600	5.5500	4	3	53.0800	\N	27.5100	\N	39.8600	14.9900
ANDE	C+	13.9600	4.2600	5	3	57.6200	\N	0.0500	3.7100	-8.8800	-1.9000
ANET	B	215.1400	-0.2700	8	3	50.3600	21.7500	7.0500	16.9200	5.3600	-4.7400
ANF	C-	10.4500	3.8800	4	3	47.9500	\N	0.2000	27.0100	2.8500	-8.7300
ANGL	B-	29.3700	1.1700	\N	3	65.2900	\N	\N	\N	7.5000	1.8000
ANGO	C+	10.6900	7.7100	4	3	56.6800	\N	1.5100	\N	18.0700	2.2500
